Tabelle: 1000A-1035
Personen: Seniorenstatus eines privaten Haushalts (ausführlich);;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;DG Deutschland;DG Deutschland;DG Deutschland;DG Deutschland
;;Personen;Personen;Personen;Personen
;;Anzahl;Anzahl;%;%
15.05.2022;Insgesamt;81221814;e;100,0;e
15.05.2022;Haushalte mit ausschließlich Senioren/-innen;13624472;e;16,8;e
15.05.2022;  Singlehaushalte mit Senior/-in;6026872;e;7,4;e
15.05.2022;  Zweipersonenhaushalte mit ausschl. Senioren/-innen;7466286;e;9,2;e
15.05.2022;  Mehrpersonenhaushalte mit ausschl. Senioren/-innen;131314;e;0,2;e
15.05.2022;Haushalte mit Senioren/-innen und Jüngeren;9485565;e;11,7;e
15.05.2022;Haushalte ohne Senioren/-innen;58111777;e;71,5;e
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2026. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 06.03.2026 / 11:20:06
