Tabelle: 2000S-2005
Personen: Typ des privaten Haushalts (nach Familien) - Erwerbsstatus (ausführlich);;;
Bevölkerung: Bildung, Erwerb;;;;
;;;DG Deutschland;DG Deutschland
;;;Personen;Personen
;;;Anzahl;Anzahl
15.05.2022;Insgesamt;Insgesamt;80777360;e
15.05.2022;Insgesamt;Erwerbspersonen;43752890;e
15.05.2022;Insgesamt;  Erwerbstätige;41043450;e
15.05.2022;Insgesamt;  Erwerbslose;2709440;e
15.05.2022;Insgesamt;Nichterwerbspersonen;37024470;e
15.05.2022;Insgesamt;  Personen unterhalb des Mindestalters;11337840;e
15.05.2022;Insgesamt;  Empfänger/-innen von Ruhegehalt/Kapitalerträgen;17476120;e
15.05.2022;Insgesamt;  Schüler/-innen u. Studierende (nicht erwerbsaktiv);3163480;e
15.05.2022;Insgesamt;  Sonstige;5047040;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);Insgesamt;14642290;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);Erwerbspersonen;7974220;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);  Erwerbstätige;7348190;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);  Erwerbslose;626040;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);Nichterwerbspersonen;6668070;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);  Personen unterhalb des Mindestalters;13980;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);  Empfänger/-innen von Ruhegehalt/Kapitalerträgen;5635720;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);  Schüler/-innen u. Studierende (nicht erwerbsaktiv);211260;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);  Sonstige;807110;e
15.05.2022;Paare ohne Kind(er);Insgesamt;24159760;e
15.05.2022;Paare ohne Kind(er);Erwerbspersonen;12990550;e
15.05.2022;Paare ohne Kind(er);  Erwerbstätige;12383210;e
15.05.2022;Paare ohne Kind(er);  Erwerbslose;607340;e
15.05.2022;Paare ohne Kind(er);Nichterwerbspersonen;11169210;e
15.05.2022;Paare ohne Kind(er);  Personen unterhalb des Mindestalters;59420;e
15.05.2022;Paare ohne Kind(er);  Empfänger/-innen von Ruhegehalt/Kapitalerträgen;9570570;e
15.05.2022;Paare ohne Kind(er);  Schüler/-innen u. Studierende (nicht erwerbsaktiv);212850;e
15.05.2022;Paare ohne Kind(er);  Sonstige;1326380;e
15.05.2022;Paare mit Kind(ern);Insgesamt;33619160;e
15.05.2022;Paare mit Kind(ern);Erwerbspersonen;18419040;e
15.05.2022;Paare mit Kind(ern);  Erwerbstätige;17385890;e
15.05.2022;Paare mit Kind(ern);  Erwerbslose;1033160;e
15.05.2022;Paare mit Kind(ern);Nichterwerbspersonen;15200120;e
15.05.2022;Paare mit Kind(ern);  Personen unterhalb des Mindestalters;9522320;e
15.05.2022;Paare mit Kind(ern);  Empfänger/-innen von Ruhegehalt/Kapitalerträgen;1383070;e
15.05.2022;Paare mit Kind(ern);  Schüler/-innen u. Studierende (nicht erwerbsaktiv);2030890;e
15.05.2022;Paare mit Kind(ern);  Sonstige;2263850;e
15.05.2022;Alleinerziehende Elternteile;Insgesamt;6730450;e
15.05.2022;Alleinerziehende Elternteile;Erwerbspersonen;3239930;e
15.05.2022;Alleinerziehende Elternteile;  Erwerbstätige;2904980;e
15.05.2022;Alleinerziehende Elternteile;  Erwerbslose;334950;e
15.05.2022;Alleinerziehende Elternteile;Nichterwerbspersonen;3490520;e
15.05.2022;Alleinerziehende Elternteile;  Personen unterhalb des Mindestalters;1698700;e
15.05.2022;Alleinerziehende Elternteile;  Empfänger/-innen von Ruhegehalt/Kapitalerträgen;692500;e
15.05.2022;Alleinerziehende Elternteile;  Schüler/-innen u. Studierende (nicht erwerbsaktiv);567840;e
15.05.2022;Alleinerziehende Elternteile;  Sonstige;531480;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;Insgesamt;1625700;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;Erwerbspersonen;1129160;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;  Erwerbstätige;1021190;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;  Erwerbslose;107960;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;Nichterwerbspersonen;496540;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;  Personen unterhalb des Mindestalters;43420;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;  Empfänger/-innen von Ruhegehalt/Kapitalerträgen;194260;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;  Schüler/-innen u. Studierende (nicht erwerbsaktiv);140640;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;  Sonstige;118230;e
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2026. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 03.03.2026 / 16:07:52
