Tabelle: 5000H-1006
Haushalte: Typ des privaten Haushalts (nach Familien);;;
Haushalte;;;;;
;;DG Deutschland;DG Deutschland;DG Deutschland;DG Deutschland
;;Haushalte;Haushalte;Haushalte;Haushalte
;;Anzahl;Anzahl;%;%
15.05.2022;Insgesamt;40236008;e;100,0;e
15.05.2022;Einpersonenhaushalte (Singlehaushalte);17446115;e;43,4;e
15.05.2022;Paare ohne Kind(er);10137325;e;25,2;e
15.05.2022;Paare mit Kind(ern);8571507;e;21,3;e
15.05.2022;Alleinerziehende Elternteile;2971283;e;7,4;e
15.05.2022;Mehrpersonenhaushalte ohne Kernfamilie;1109780;e;2,8;e
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2026. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 03.03.2026 / 16:02:02
