Tabelle: 5000H-2001
Haushalte: Größe des privaten Haushalts -  Typ des privaten Haushalts (nach Familien);;;
Haushalte;;;;
;;;DG Deutschland;DG Deutschland
;;;Haushalte;Haushalte
;;;Anzahl;Anzahl
15.05.2022;Insgesamt;Insgesamt;40236008;e
15.05.2022;Insgesamt;Einpersonenhaushalte (Singlehaushalte);17446115;e
15.05.2022;Insgesamt;Paare ohne Kind(er);10137325;e
15.05.2022;Insgesamt;Paare mit Kind(ern);8571507;e
15.05.2022;Insgesamt;Alleinerziehende Elternteile;2971283;e
15.05.2022;Insgesamt;Mehrpersonenhaushalte ohne Kernfamilie;1109780;e
15.05.2022;1 Person;Insgesamt;17446115;e
15.05.2022;1 Person;Einpersonenhaushalte (Singlehaushalte);17446115;e
15.05.2022;1 Person;Paare ohne Kind(er);-;
15.05.2022;1 Person;Paare mit Kind(ern);-;
15.05.2022;1 Person;Alleinerziehende Elternteile;-;
15.05.2022;1 Person;Mehrpersonenhaushalte ohne Kernfamilie;-;
15.05.2022;2 Personen;Insgesamt;12283335;e
15.05.2022;2 Personen;Einpersonenhaushalte (Singlehaushalte);-;
15.05.2022;2 Personen;Paare ohne Kind(er);9544163;e
15.05.2022;2 Personen;Paare mit Kind(ern);-;
15.05.2022;2 Personen;Alleinerziehende Elternteile;1836575;e
15.05.2022;2 Personen;Mehrpersonenhaushalte ohne Kernfamilie;902600;e
15.05.2022;3 Personen;Insgesamt;5004349;e
15.05.2022;3 Personen;Einpersonenhaushalte (Singlehaushalte);-;
15.05.2022;3 Personen;Paare ohne Kind(er);416783;e
15.05.2022;3 Personen;Paare mit Kind(ern);3689485;e
15.05.2022;3 Personen;Alleinerziehende Elternteile;766577;e
15.05.2022;3 Personen;Mehrpersonenhaushalte ohne Kernfamilie;131502;e
15.05.2022;4 Personen;Insgesamt;3668957;e
15.05.2022;4 Personen;Einpersonenhaushalte (Singlehaushalte);-;
15.05.2022;4 Personen;Paare ohne Kind(er);116094;e
15.05.2022;4 Personen;Paare mit Kind(ern);3259267;e
15.05.2022;4 Personen;Alleinerziehende Elternteile;251744;e
15.05.2022;4 Personen;Mehrpersonenhaushalte ohne Kernfamilie;41849;e
15.05.2022;5 Personen;Insgesamt;1198799;e
15.05.2022;5 Personen;Einpersonenhaushalte (Singlehaushalte);-;
15.05.2022;5 Personen;Paare ohne Kind(er);29810;e
15.05.2022;5 Personen;Paare mit Kind(ern);1077495;e
15.05.2022;5 Personen;Alleinerziehende Elternteile;76622;e
15.05.2022;5 Personen;Mehrpersonenhaushalte ohne Kernfamilie;14870;e
15.05.2022;6 und mehr Personen;Insgesamt;634454;e
15.05.2022;6 und mehr Personen;Einpersonenhaushalte (Singlehaushalte);-;
15.05.2022;6 und mehr Personen;Paare ohne Kind(er);30468;e
15.05.2022;6 und mehr Personen;Paare mit Kind(ern);545260;e
15.05.2022;6 und mehr Personen;Alleinerziehende Elternteile;39761;e
15.05.2022;6 und mehr Personen;Mehrpersonenhaushalte ohne Kernfamilie;18963;e
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2026. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 04.03.2026 / 14:46:48
